Produktnavn,Produkt ID,Produkt Status
20W Adapter,8191981224072,active
Beskyttelsesglas,8191982403720,active
Beskyttelsesglas iPad,14671462302071,active
Brugt AirPods 2,15008569557367,active
Brugt AirPods 3,15009011728759,active
Brugt AirPods Max,15009427718519,active
Brugt AirPods Pro 1,15009094599031,active
Brugt AirPods Pro 2 - Lightning,15009095778679,active
Brugt AirPods Pro 2 - USB C,15009240744311,active
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",8391935230088,active
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",8391933296776,active
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,active
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,active
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,active
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,active
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,active
Brugt iPad 10.9” 10. Gen (2022) WiFi,14668696519031,active
"Brugt iPad 9.7"" 5. Gen (2017) Cellular",8391950762120,active
"Brugt iPad 9.7"" 5. Gen (2017) WiFi",8391949320328,active
"Brugt iPad 9.7"" 6. Gen (2018) Cellular",8391946502280,active
"Brugt iPad 9.7"" 6. Gen (2018) WiFi",8391940964488,active
"Brugt iPad Air 10.5"" 3.Gen (2019) Cellular",14668724961655,active
"Brugt iPad Air 10.5"" 3.Gen (2019) WiFi",14668724797815,active
Brugt iPad Air 10.9” 4.Gen (2020) Cellular,14668725453175,active
Brugt iPad Air 10.9” 4.Gen (2020) WiFi,14668725289335,active
Brugt iPad Air 10.9” 5.Gen (2022) Cellular,14668726141303,active
Brugt iPad Air 10.9” 5.Gen (2022) WiFi,14668725813623,active
"Brugt iPad Air 11"" 6.Gen (2024) Cellular",14668726927735,draft
"Brugt iPad Air 11"" 6.Gen (2024) WiFi",14668726632823,draft
"Brugt iPad Air 13"" 6.Gen (2024) Cellular",14671999041911,draft
"Brugt iPad Air 13"" 6.Gen (2024) WiFi",14671999074679,draft
"Brugt iPad Air 9.7"" (2013) Cellular",14668723847543,draft
"Brugt iPad Air 9.7"" (2013) WiFi",14668723749239,draft
"Brugt iPad Air 9.7"" 2. Gen (2014) WiFi",14668724240759,draft
"Brugt iPad Air 9.7"" 2.Gen (2014) Cellular",14668724470135,draft
"Brugt iPad Mini 7.9"" 5. Gen. (2019) Cellular",14668697207159,active
"Brugt iPad Mini 7.9"" 5. Gen. (2019) WiFi",14668697010551,active
"Brugt iPad Mini 8.3"" 6. Gen. (2021) Cellular",14668695372151,active
"Brugt iPad Mini 8.3"" 6. Gen. (2021) WiFi",8391954006152,active
"Brugt iPad Pro 10.5"" (2017) Cellular",14668699206007,active
"Brugt iPad Pro 10.5"" (2017) WiFi",14668699107703,active
"Brugt iPad Pro 11""  3. Gen (2021) Cellular",14670331347319,active
"Brugt iPad Pro 11""  3. Gen (2021) WiFi",14670331740535,active
"Brugt iPad Pro 11""  4. Gen (2022) Cellular",14668722176375,active
"Brugt iPad Pro 11""  4. Gen (2022) WiFi",14668721095031,active
"Brugt iPad Pro 11""  5. Gen (2024) WiFi",14668722405751,draft
"Brugt iPad Pro 11"" 1. Gen (2018) Cellular",14670327513463,active
"Brugt iPad Pro 11"" 1. Gen (2018) WiFi",14670328267127,active
"Brugt iPad Pro 11"" 2. Gen (2020) Cellular",14668706447735,active
"Brugt iPad Pro 11"" 2. Gen (2020) WiFi",14668705988983,active
"Brugt iPad Pro 11"" 5. Gen (2024) Cellular",14668722536823,draft
"Brugt iPad Pro 12.9"" 1. Gen (2015) Cellular",14668666306935,draft
"Brugt iPad Pro 12.9"" 1. Gen (2015) WiFi",14668668207479,draft
"Brugt iPad Pro 12.9"" 2 Gen (2017) Cellular",14668698780023,active
"Brugt iPad Pro 12.9"" 2 Gen (2017) WiFi",14668698648951,active
"Brugt iPad Pro 12.9"" 3. Gen (2018) Cellular",14668705595767,active
"Brugt iPad Pro 12.9"" 3. Gen (2018) WiFi",14668705497463,active
"Brugt iPad Pro 12.9"" 4. Gen (2020) Cellular",14670329545079,active
"Brugt iPad Pro 12.9"" 4. Gen (2020) WiFi",14670330265975,active
"Brugt iPad Pro 12.9"" 5. Gen (2021) Cellular",14668713886071,active
"Brugt iPad Pro 12.9"" 5. Gen (2021) WiFi",14668719096183,active
"Brugt iPad Pro 12.9"" 6. Gen (2022) Cellular",14671813575031,active
"Brugt iPad Pro 12.9"" 6. Gen (2022) WiFi",14671854993783,active
"Brugt iPad Pro 9.7"" (2016) Cellular",14668697862519,active
"Brugt iPad Pro 9.7"" (2016) WiFi",14668697600375,active
Brugt iPhone 11,8191178735752,active
Brugt iPhone 11 Pro,8191142592648,active
Brugt iPhone 11 Pro Max,8191142690952,active
Brugt iPhone 12,8191142822024,active
Brugt iPhone 12 Mini,8191143116936,active
Brugt iPhone 12 Pro,8191143739528,active
Brugt iPhone 12 Pro Max,8191143772296,active
Brugt iPhone 13,8191144067208,active
Brugt iPhone 13 Mini,8191144296584,active
Brugt iPhone 13 Pro,8191144427656,active
Brugt iPhone 13 Pro Max,8191144657032,active
Brugt iPhone 14,8191145607304,active
Brugt iPhone 14 Plus,8191145672840,active
Brugt iPhone 14 Pro,8191145803912,active
Brugt iPhone 14 Pro Max,8191145902216,active
Brugt iPhone 15,8191146098824,active
Brugt iPhone 15 Plus,8191146229896,active
Brugt iPhone 15 Pro,8191146328200,active
Brugt iPhone 15 Pro Max,8191146492040,active
Brugt iPhone 16,14931339575671,active
Brugt iPhone 16 Plus,15076766351735,draft
Brugt iPhone 16 Pro,14931336298871,active
Brugt iPhone 16 Pro Max,14931332628855,active
Brugt iPhone 7,8191146655880,draft
Brugt iPhone 7 Plus,8191146885256,draft
Brugt iPhone 8,8191146983560,active
Brugt iPhone 8 Plus,8191147114632,active
Brugt iPhone SE 2020,8191147344008,active
Brugt iPhone SE 2022,8191147769992,active
Brugt iPhone X,8191148097672,active
Brugt iPhone XR,8191148621960,active
Brugt iPhone XS,8191149113480,active
Brugt iPhone XS Max,8191149211784,active
"Brugt MacBook Air 13,3"" (2019) i5 1.6 GHz - Rosa",15080745664887,active
"Brugt MacBook Air 13,3"" (2020) i3 1.1 GHz - Sølv",15076562960759,active
"Brugt MacBook Air 13,6"" (2022) M2 - Space Grey",15076545429879,active
"Brugt MacBook Air 13,6"" (2024) M3 - Stjerneskær",15076626366839,active
"Brugt MacBook Pro 14,2"" (2023) M3 - Space Black",15076632068471,active
Brugt Samsung Galaxy S20 5G,14948721459575,active
Brugt Samsung Galaxy S20 FE 5G,14948728635767,active
Brugt Samsung Galaxy S21 5G,14952324268407,active
Brugt Samsung Galaxy S21 FE 5G,14948730175863,active
Brugt Samsung Galaxy S21 Plus 5G,14952326988151,active
Brugt Samsung Galaxy S21 Ultra 5G,14952330527095,active
Brugt Samsung Galaxy S22 5G,14948638065015,active
Brugt Samsung Galaxy S22 Plus 5G,14947974119799,active
Brugt Samsung Galaxy S22 Ultra 5G,14952338391415,active
Brugt Samsung Galaxy S23 5G,14952356118903,active
Brugt Samsung Galaxy S23 Plus 5G,14952364999031,active
Brugt Samsung Galaxy S23 Ultra 5G,14948706255223,active
Brugt Samsung Galaxy S24 Ultra 5G,14948712317303,active
Brugt Samsung Galaxy Z Flip 6,15011121234295,active
Brugt Samsung Galaxy Z Fold 6,15011186475383,active
Brugt Samsung Watch 7,15011191751031,active
Brugt Samsung Watch Ultra,15011192897911,active
Brugte AirPods (4. gen) med aktiv støjreduktion – Premium lyd med ANC,15009045447031,draft
Brugte AirPods (4. gen) – Apples nyeste høretelefoner med H2-chip,15009024475511,draft
EarPods,8191984009352,active
EQ21 - Trådløse høretelefoner med smart touch-display,15008874889591,active
EQ22 - Trådløse høretelefoner med ANC støjreduktion,15008875741559,active
iPad 2 Reparation,8191136301192,active
iPad 4 Reparation,8191136399496,active
iPad 5. – 8. generation reparation,8191136432264,active
iPad 9 Reparation,8191136268424,active
iPad Air 1 reparation,8191137251464,active
iPad Air 2 reparation,8191137284232,active
iPad Air 3 reparation,8191137185928,active
iPad Air 4 reparation,8191137153160,active
iPad Air 5 reparation,8191137382536,active
"iPad Mini 2, 3, 4 reparation",8191137120392,active
iPad Mini 5 reparation,8191137087624,active
iPad Mini 6 reparation,8191137054856,active
iPad Pro 10.5″ reparation,8191136563336,active
"iPad Pro 11"" 2.G. reparation",8191136661640,active
iPad Pro 11″ - 1. generation reparation,8191136727176,active
iPad Pro 11″ 2022 reparation,8191136923784,active
iPad Pro 12.9 6. generation reparation,8191137022088,active
iPad Pro 12.9″ – 1. generation reparation,8191136792712,active
iPad Pro 12.9″ – 2. generation reparation,8191136858248,active
iPad Pro 12.9″ – 3. – 5. generation reparation,8191136989320,active
iPad Pro 9.7″ reparation,8191136497800,active
iPhone 11 Pro Max reparation,8191142396040,active
iPhone 11 Pro reparation,8191142461576,active
iPhone 11 reparation,8191142854792,active
iPhone 12 Mini reparation,8191142166664,active
iPhone 12 Pro Max reparation,8191142068360,active
iPhone 12 Pro reparation,8191142101128,active
iPhone 12 reparation,8191142133896,active
iPhone 13 Mini reparation,8191141871752,active
iPhone 13 Pro Max reparation,8191142035592,active
iPhone 13 Pro reparation,8191141970056,active
iPhone 13 reparation,8191141904520,active
iPhone 14 Plus reparation,8191141773448,active
iPhone 14 Pro Max reparation,8191141838984,active
iPhone 14 Pro reparation,8191149998216,active
iPhone 14 reparation,8191141740680,active
iPhone 15 Plus reparation,8191141544072,active
iPhone 15 Pro Max reparation,8191141675144,active
iPhone 15 Pro reparation,8191141609608,active
iPhone 15 reparation,8191141413000,active
iPhone 16 Plus reparation,8371336970376,active
iPhone 16 Pro Max reparation,8371337396360,active
iPhone 16 Pro reparation,8371337265288,active
iPhone 16 reparation,8371335692424,active
iPhone 6 Plus reparation,8191149736072,active
iPhone 6 reparation,8191149801608,active
iPhone 6S Plus reparation,8191149572232,active
iPhone 6S reparation,8191149637768,active
iPhone 7 Plus reparation,8191149899912,active
iPhone 7 reparation,8191149506696,active
iPhone 8 Plus reparation,8191149277320,active
iPhone 8 reparation,8191149375624,active
iPhone SE 1 generation reparation,8191143280776,active
iPhone SE 2020 reparation,8191143313544,active
iPhone SE 2022 reparation,8191143248008,active
iPhone X reparation,8191143477384,active
iPhone XR reparation,8191143542920,active
