status,variant_id,sku,message,error
updated,55305656074615,AUTOSKU-00000001,SKU updated,
updated,55305656107383,AUTOSKU-00000002,SKU updated,
updated,53480069333367,AUTOSKU-00000003,SKU updated,
updated,53486432256375,AUTOSKU-00000004,SKU updated,
updated,53486432289143,AUTOSKU-00000005,SKU updated,
updated,53486432321911,AUTOSKU-00000006,SKU updated,
updated,53486432354679,AUTOSKU-00000007,SKU updated,
updated,53486432387447,AUTOSKU-00000008,SKU updated,
updated,53486432420215,AUTOSKU-00000009,SKU updated,
updated,53486432452983,AUTOSKU-0000000A,SKU updated,
updated,53486432485751,AUTOSKU-0000000B,SKU updated,
updated,53486432518519,AUTOSKU-0000000C,SKU updated,
updated,53486432551287,AUTOSKU-0000000D,SKU updated,
updated,53486432584055,AUTOSKU-0000000E,SKU updated,
updated,53486432616823,AUTOSKU-0000000F,SKU updated,
updated,53486432649591,AUTOSKU-0000000G,SKU updated,
updated,53486432682359,AUTOSKU-0000000H,SKU updated,
updated,53486432715127,AUTOSKU-0000000I,SKU updated,
updated,53486432747895,AUTOSKU-0000000J,SKU updated,
updated,53486432780663,AUTOSKU-0000000K,SKU updated,
updated,53486432813431,AUTOSKU-0000000L,SKU updated,
updated,53486432846199,AUTOSKU-0000000M,SKU updated,
updated,53486432878967,AUTOSKU-0000000N,SKU updated,
updated,53486432911735,AUTOSKU-0000000O,SKU updated,
updated,53486432944503,AUTOSKU-0000000P,SKU updated,
updated,53486432977271,AUTOSKU-0000000Q,SKU updated,
updated,53486433010039,AUTOSKU-0000000R,SKU updated,
updated,53486433042807,AUTOSKU-0000000S,SKU updated,
updated,53486433075575,AUTOSKU-0000000T,SKU updated,
updated,53486433108343,AUTOSKU-0000000U,SKU updated,
updated,53486433141111,AUTOSKU-0000000V,SKU updated,
updated,53486433173879,AUTOSKU-0000000W,SKU updated,
updated,53486433206647,AUTOSKU-0000000X,SKU updated,
updated,53486433239415,AUTOSKU-0000000Y,SKU updated,
updated,53486433272183,AUTOSKU-0000000Z,SKU updated,
