Produktnavn,Produkt ID,Variantnavn,Variant ID,SKU,Option1,Option2,Option3,Status,Pris
20W Adapter,9268031881481,Default Title,48366420590857,20w-adapter,Default Title,,,deny,189.00
Beskyttelsesglas,9268031979785,Default Title,48366420689161,TEMPERED-GLASS,Default Title,,,deny,149.00
Beskyttelsesglas iPad,9325809697033,Default Title,48588072026377,PT-IPAD-GLASS-9H-001,Default Title,,,deny,199.00
Brugt AirPods 2,15199310151945,Rigtig god,55687962820873,PT-AP2-W-RG,Rigtig god,,,continue,699.00
Brugt AirPods 2,15199310151945,Som ny,55687962853641,PT-AP2-W-SN,Som ny,,,continue,899.00
Brugt AirPods Max,15199193825545,Rigtig god,55687523991817,PT-AMAX-SG-RG,Rigtig god,,,continue,2999.00
Brugt AirPods Max,15199193825545,Som ny,55687524024585,PT-AMAX-SG-SN,Som ny,,,continue,3299.00
Brugt AirPods Pro 1,15200808632585,Rigtig god,55691633492233,PT-APP1-W-RG,Rigtig god,,,continue,1099.00
Brugt AirPods Pro 1,15200808632585,Som ny,55691633525001,PT-APP1-W-SN,Som ny,,,continue,1299.00
Brugt AirPods Pro 2 - Lightning,15201562296585,Rigtig god,55695592423689,PT-APP2L-W-RG,Rigtig god,,,continue,1299.00
Brugt AirPods Pro 2 - Lightning,15201562296585,Som ny,55695592456457,PT-APP2L-W-SN,Som ny,,,continue,1499.00
Brugt AirPods Pro 2 - USB C,15201562820873,Rigtig god,55695594291465,PT-APP2C-W-RG,Rigtig god,,,continue,1299.00
Brugt AirPods Pro 2 - USB C,15201562820873,Som ny,55695594324233,PT-APP2C-W-SN,Som ny,,,continue,1499.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugbar / Space Grey,48559223144713,3f21a3b03db6818f,32GB,Brugbar,Space Grey,continue,1949.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugbar / Guld,48559223177481,e48b81fcfc7bdcff,32GB,Brugbar,Guld,continue,1949.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugbar / Sølv,48559223210249,92f1416d6f36e6e7,32GB,Brugbar,Sølv,continue,1949.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugt / Space Grey,48559223243017,c6d636e395c0944f,32GB,Brugt,Space Grey,continue,2049.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugt / Guld,48559223275785,1c53b1bd8f1b63c2,32GB,Brugt,Guld,continue,2049.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Brugt / Sølv,48559223308553,08b70ffdc44d7047,32GB,Brugt,Sølv,continue,2049.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Rigtig god / Space Grey,48559223341321,5660f6fe68d4e216,32GB,Rigtig god,Space Grey,continue,2149.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Rigtig god / Guld,48559223374089,8642088d85f6a409,32GB,Rigtig god,Guld,continue,2149.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Rigtig god / Sølv,48559223406857,244989e82ca34732,32GB,Rigtig god,Sølv,continue,2149.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Som ny / Space Grey,48559223439625,bbe29a42e2fa52c6,32GB,Som ny,Space Grey,continue,2249.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Som ny / Guld,48559223472393,9d888a3cd3bd6128,32GB,Som ny,Guld,continue,2249.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,32GB / Som ny / Sølv,48559223505161,f3fb9f332e998646,32GB,Som ny,Sølv,continue,2249.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugbar / Space Grey,48559223537929,3cbc3b29c0f4eb8f,128GB,Brugbar,Space Grey,continue,2849.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugbar / Guld,48559223570697,1ba264934c846806,128GB,Brugbar,Guld,continue,2849.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugbar / Sølv,48559223603465,78367d85b0fc203f,128GB,Brugbar,Sølv,continue,2849.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugt / Space Grey,48559223636233,e50d664686fc2d3a,128GB,Brugt,Space Grey,continue,2949.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugt / Guld,48559223669001,5c8c704492dcd31d,128GB,Brugt,Guld,continue,2949.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Brugt / Sølv,48559223701769,ed05692796bf72eb,128GB,Brugt,Sølv,continue,2949.00
