status,variant_id,sku,message,error
updated,48588072026377,TEMPERED-GLASS-iPAD,SKU updated,
updated,55687962820873,AP2G-B-128,SKU updated,
updated,55687962853641,AP2G-RG-128,SKU updated,
updated,55687523991817,AUTOSKU-00000001,SKU updated,
updated,55687524024585,AUTOSKU-00000002,SKU updated,
updated,55691633492233,APP1G-RG-128,SKU updated,
updated,55691633525001,AUTOSKU2-00000002,SKU updated,
updated,55695592423689,APP2G-B-128,SKU updated,
updated,55695592456457,APP2G-RG-128,SKU updated,
updated,55695594291465,APP2G-C-B-128,SKU updated,
updated,55695594324233,APP2G-C-RG-128,SKU updated,
updated,48559221408009,AUTOSKU-00000003,SKU updated,
updated,48588072091913,AUTOSKU-00000004,SKU updated,
updated,48588072124681,AUTOSKU-00000005,SKU updated,
updated,48588072157449,AUTOSKU-00000006,SKU updated,
updated,48588072190217,AUTOSKU-00000007,SKU updated,
updated,48588072222985,AUTOSKU-00000008,SKU updated,
updated,48588072255753,AUTOSKU-00000009,SKU updated,
updated,48588072288521,AUTOSKU-0000000A,SKU updated,
updated,48588072321289,AUTOSKU-0000000B,SKU updated,
updated,48588072354057,AUTOSKU-0000000C,SKU updated,
updated,48588072386825,AUTOSKU-0000000D,SKU updated,
updated,48588072419593,AUTOSKU-0000000E,SKU updated,
updated,48588072452361,AUTOSKU-0000000F,SKU updated,
updated,48588072485129,AUTOSKU-0000000G,SKU updated,
updated,48588072517897,AUTOSKU-0000000H,SKU updated,
updated,48588072550665,AUTOSKU-0000000I,SKU updated,
updated,48588072583433,AUTOSKU-0000000J,SKU updated,
updated,48588072616201,AUTOSKU-0000000K,SKU updated,
updated,48588072648969,AUTOSKU-0000000L,SKU updated,
updated,48588072681737,AUTOSKU-0000000M,SKU updated,
updated,48588072714505,AUTOSKU-0000000N,SKU updated,
updated,48588072747273,AUTOSKU-0000000O,SKU updated,
updated,48588072780041,AUTOSKU-0000000P,SKU updated,
updated,48588072812809,AUTOSKU-0000000Q,SKU updated,
updated,48588072845577,AUTOSKU-0000000R,SKU updated,
updated,48588072878345,AUTOSKU-0000000S,SKU updated,
updated,48588072911113,AUTOSKU-0000000T,SKU updated,
updated,48588072943881,AUTOSKU-0000000U,SKU updated,
updated,48588072976649,AUTOSKU-0000000V,SKU updated,
updated,48588073009417,AUTOSKU-0000000W,SKU updated,
updated,48588073042185,AUTOSKU-0000000X,SKU updated,
updated,48588073074953,AUTOSKU-0000000Y,SKU updated,
updated,48588073107721,AUTOSKU-0000000Z,SKU updated,
updated,48588073140489,AUTOSKU-00000010,SKU updated,
updated,48588073173257,AUTOSKU-00000011,SKU updated,
updated,48588073206025,AUTOSKU-00000012,SKU updated,
updated,48588073238793,AUTOSKU-00000013,SKU updated,
updated,48588073271561,AUTOSKU-00000014,SKU updated,
updated,48588073304329,AUTOSKU-00000015,SKU updated,
updated,48588073337097,AUTOSKU-00000016,SKU updated,
updated,48588073369865,AUTOSKU-00000017,SKU updated,
updated,48588073402633,AUTOSKU-00000018,SKU updated,
